hand_id,handedness,landmark_id,x_norm,y_norm,z_norm,x_px,y_px,domain,video_stem,frame_file,frame_id
0,Right,15,0.5034732818603516,0.1276249885559082,-0.02017390914261341,966,137,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,16,0.5282182693481445,0.1575717329978943,-0.03136185556650162,1014,170,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,17,0.4468177258968353,0.22684195637702942,0.04612012580037117,857,244,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,18,0.47995665669441223,0.16095206141471863,0.02789784036576748,921,173,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,19,0.5101344585418701,0.16388486325740814,0.011961851269006729,979,176,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,20,0.5298816561698914,0.18772710859775543,0.004560002125799656,1017,202,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,0,0.41569459438323975,0.4331485629081726,4.896412519883597e-07,798,467,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,1,0.43306416273117065,0.3708685338497162,-0.06133906543254852,831,400,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,2,0.4559449255466461,0.27381598949432373,-0.07851482182741165,875,295,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,3,0.5009429454803467,0.19175386428833008,-0.08315578103065491,961,207,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,4,0.5361278653144836,0.12383262813091278,-0.08296152949333191,1029,133,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,5,0.3830883502960205,0.1578925997018814,-0.030369114130735397,735,170,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,6,0.45079338550567627,0.07923435419797897,-0.04869099706411362,865,85,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,7,0.5009376406669617,0.0801713839173317,-0.06755251437425613,961,86,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,8,0.5335448384284973,0.10271713137626648,-0.07846919447183609,1024,110,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,9,0.4010864198207855,0.15443827211856842,-0.0013176599750295281,770,166,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,10,0.46393945813179016,0.0755070298910141,-0.02183518372476101,890,81,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,11,0.5122628211975098,0.08437702804803848,-0.04258522391319275,983,91,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,12,0.5462132096290588,0.1156214028596878,-0.052968140691518784,1048,124,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,13,0.42440265417099,0.16994808614253998,0.021509863436222076,814,183,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,14,0.48115071654319763,0.10427286475896835,-0.0014132686192169785,923,112,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,15,0.5197180509567261,0.1145753264427185,-0.02247961424291134,997,123,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,16,0.5467362403869629,0.14122477173805237,-0.031317826360464096,1049,152,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,17,0.4485571086406708,0.1961645483970642,0.04018501564860344,861,211,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,18,0.49441516399383545,0.1489228755235672,0.01578276976943016,949,160,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,19,0.5239692330360413,0.15756195783615112,-0.001950642792508006,1006,170,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,20,0.5468946695327759,0.1769825667142868,-0.008966060355305672,1050,191,artificial_jewellery,video_20260404_121005,frame_000210.jpg,000210
0,Right,0,0.4224154055118561,0.49412715435028076,6.63032551528886e-07,811,533,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,1,0.4555967152118683,0.461681604385376,-0.07768821716308594,874,498,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,2,0.47789302468299866,0.3671208322048187,-0.10651503503322601,917,396,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,3,0.5150796175003052,0.2733241319656372,-0.11680106818675995,988,295,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,4,0.5436505079269409,0.19264322519302368,-0.12131541967391968,1043,208,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,5,0.3693608045578003,0.24963846802711487,-0.08156288415193558,709,269,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,6,0.44900763034820557,0.14007876813411713,-0.10705545544624329,862,151,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,7,0.508059024810791,0.1409827023744583,-0.11859933286905289,975,152,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,8,0.5458251237869263,0.15615038573741913,-0.12322121858596802,1047,168,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,9,0.3719954490661621,0.22348611056804657,-0.04681772738695145,714,241,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,10,0.4474678933620453,0.11164326965808868,-0.07475025951862335,859,120,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,11,0.5110399127006531,0.1257142275571823,-0.08621016144752502,981,135,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,12,0.5562702417373657,0.15331941843032837,-0.0882316529750824,1068,165,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
0,Right,13,0.390929639339447,0.22188465297222137,-0.016698108986020088,750,239,artificial_jewellery,video_20260404_121005,frame_000270.jpg,000270
